"Gene"	"FC"	"FDR"	"pct.exp"
"136"	"GNG4"	0.423397619468918	3.19429739489161e-41	25.4759989273264
"137"	"GPC5"	-0.499959863142679	8.35842792226357e-22	54.0091177259319
"139"	"GPR161"	0.373533274005315	5.70441756101725e-25	35.6395816572808
"140"	"GRAMD1B"	0.402520060661948	1.2081528953779e-26	74.2558326629123
"141"	"GREB1L"	-0.337212356234764	2.54093811141251e-26	46.4735854116385
"142"	"GRIA1"	0.702346570538162	7.48995188005326e-192	98.5518905872888
"143"	"GRIA4"	-0.534468947199141	2.24028404478543e-86	37.0072405470636
"144"	"GRIK1"	0.482298643576006	4.58208546508735e-30	51.4883346741754
"145"	"GRIK2"	-0.326605527910169	1.11629606329686e-28	91.525878251542
"146"	"GRIN2B"	0.470832533939475	1.25285388286125e-82	94.3148297130598
"147"	"GRM1"	-0.358045953670066	3.60798674428985e-25	58.5679806918745
"148"	"HDAC4"	0.480416727615959	7.31485962706641e-42	64.1727004558863
"149"	"HDAC9"	-0.356681546105648	1.42162022562565e-27	41.2979351032448
"150"	"HECA"	0.33283988393108	2.73711286729115e-30	35.8004827031376
"151"	"HECW1"	-0.542784289488096	3.4483830087113e-53	48.9675516224189
"152"	"HOMER1"	0.670589502891517	3.26225250727892e-86	89.4609814963797
"153"	"HS3ST2"	0.660256417082056	3.83552690605444e-34	63.2341110217216
"154"	"HSPH1"	0.368889148981278	1.02966799546993e-21	61.5982837221775
"155"	"HTR4"	0.600891924285094	3.10023258480431e-42	63.3681952266023
"156"	"HUNK"	0.724456730300364	1.12202717954947e-57	62.8050415661035
"157"	"ICA1"	-0.302664480941635	1.66502651979753e-23	34.4864574953071
"158"	"IGSF21"	0.347083164619296	5.97689426281601e-16	51.1665325824618
"159"	"INPP4B"	-0.484288165204011	1.4099882244636e-58	51.9442209707696
"160"	"IQSEC1"	-0.318689719901971	4.62460545498785e-20	40.7615982837222
"161"	"IRS2"	0.406108884370094	1.28561859846955e-21	55.2158755698579
"162"	"ITGA8"	1.11401248796407	1.18690984383139e-123	66.9616519174041
"163"	"ITGA9"	0.824007683375316	5.18021674708553e-84	72.8345400911773
"164"	"ITPR1"	0.821263801395252	1.08880183723157e-96	77.7956556717619
"165"	"KALRN"	0.349609319063085	3.74172244833146e-63	96.6478948779834
"166"	"KCNB2"	-0.548895272428838	6.48151737548746e-96	65.111289890051
